hname,aname,year,hgoals,agoals,hPossesion,aPossesion,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hyellowCards,ayellowCards,hredCards,aredCards,hfouls,afouls,hsaves,asaves,result
Algeria,Austria,2026,3,3,60,33,5,3,12,10,0,1,0,0,3,7,,,
Jordan,Argentina,2026,1,3,27,67,1,4,5,13,3,0,0,0,13,7,,,
South Africa,Canada,2026,0,1,55,35,1,7,6,12,0,2,0,0,10,16,,,
Brazil,Japan,2026,2,1,61,30,7,2,19,5,2,3,0,0,4,13,,,
Germany,Paraguay,2026,1,1,65,23,6,3,21,7,2,2,0,0,18,12,,,
Netherlands,Morocco,2026,1,1,31,61,2,5,6,11,0,1,0,0,18,15,,,
Côte d'Ivoire,Norway,2026,1,2,41,50,5,4,14,9,0,1,0,0,6,7,,,
France,Sweden,2026,3,0,53,38,12,3,25,8,0,0,0,0,14,10,,,
Mexico,Ecuador,2026,2,0,37,52,3,1,15,7,0,3,0,1,10,14,,,
England,Congo DR,2026,2,1,53,37,7,2,16,7,1,1,0,0,10,12,,,
Belgium,Senegal,2026,3,2,48,42,5,5,19,19,1,1,0,0,22,12,,,
USA,Bosnia and Herzegovina,2026,2,0,43,47,2,3,8,10,0,1,1,0,7,13,,,
Spain,Austria,2026,3,0,59,33,10,0,23,5,0,1,0,0,8,15,,,
Portugal,Croatia,2026,2,1,55,37,3,6,15,13,1,2,0,0,6,12,,,
Switzerland,Algeria,2026,2,0,40,51,5,2,11,8,0,2,0,0,10,12,,,
Australia,Egypt,2026,1,1,35,53,2,4,16,14,0,2,0,0,12,14,,,
Argentina,Cabo Verde,2026,3,2,59,34,12,5,22,16,1,1,0,0,13,12,,,
colombia,ghana,2026,1,0,54,38,8,0,20,8,2,3,0,0,14,10,,,
canada,morocco,2026,0,3,37,50,3,4,10,5,4,4,0,0,24,14,,,
paraguay,france,2026,0,1,22,66,0,5,5,15,0,3,0,0,13,11,,,
brazil,norway,2026,1,2,32,60,4,5,14,9,1,0,0,0,7,6,,,
mexico,england,2026,2,3,59,31,5,5,20,6,2,4,0,1,14,7,,,
portugal,spain,2026,0,1,41,50,2,6,10,15,2,1,0,0,9,13,,,
usa,belgium,2026,1,4,51,40,2,7,7,15,2,0,0,0,11,9,,,
